Book-Author
Mark P. O. Morford
Richard Bruce Wright
Carlo D'Este
N. H. Kleinbaum
Boileau-Narcejac
Jacques-Henri Bernardin de Saint-Pierre
Francis Pornon
Jarry
Ã?Â?ric Holder
Mehdi Charef
Donald Cole
Francisco Umbral
Lutz Hagestedt
Edmund Morris
John Butman
Jeff Somers
THERON RAINES
Allan Stark
Jeff Cox
"Mark, Phd Chamberlain"
Diane Wood Middlebrook
Family Handyman
THURSTON CLARKE
Maureen Freely
Karen L. Chiao
John Horgan
Richard Kelly
Andre Alexis
Taylor Hartman
Linnea Due
Josephine Humphreys
Amir  D. Aczel
Emily Hammond
Margaret Reinhold
Charlene Anderson
Marilyn Jacovsky
Penny Mickelbury
Reed Farrell Coleman
Thrity N. Umrigar
Sarah Quigley
Lucinda Bassett
Tom McNeal
Christopher Brookhouse
Harriet Scott Chessman
Michael Sheridan
Susan Schwartz Senstad
Kit Reed
Corey Ward
Diane Leslie
James Conrad
Martyn Bedford
Edward Marriott
Idwal Jones
John Clayton
Robert Demaria
Charles Holdefer
Stona Fitch
Alan Nayes
Andre Aciman
John Joseph Brady
Ted Halstead
Carla Dionne
Michael Laser
T. C. Huo
Ed Leefeldt
Ann Arensberg
Betool Khedairi
Ann Crittenden
Hubert Ivo
Rudolf Steiner Schule Ruhrgebiet
Julia Roberts
D. Price
Ted Solotaroff
Jim Unger
American Dietetic Association
Mark Daniel
Denis Hayes
Sally Seamans
John E. Stith
John Harkness
Eugene S. Daniell
Marjane Satrapi
Stella Pevsner
Carolyn Haywood
Margy Kuntz
K.S. Rodriguez
Phyllis McGinley
Anne Pellowski
Eduard Jose
Gill McBarnet
Sandi Takayama
Kate McMullan
Nancy Hellen
Walt Disney Productions
Linda Hayward
Jane O'Boyle
Lisa Weiss
Angelina Jolie
Richard Maher
Carl Rogers
Margo Oliver
Mary Emily Pearce
Barry Render
Ruth M Arthur
Allen
RUDYARD KIPLING
Hans Christian Anderson
E NESBIT
Jim Aitchison
Harvey A. Hornstein
Currah
Kingsley. Charles
Joe Martin
Nancy Levinson
Shannon Blair
Marion Crane
Jane Polcovar
Stuart Buchan
Stephanie Curtis
Sharon Cadwallader
Barbara Steiner
Gailanne Maravel
Alice Owen Crawford
Dale Cowan
Nancy Pines
Barbara Conklin
Janetta Johns
Anna Aaron
Jeanette Nobile
Marian Caudell
Marian Woodruff
Stephanie Foster
Taria Hayford
Donna Gregory
Susan Blake
Barbara P. Conklin
Richard Buskin
G.G. GARTH
Lee Duigon
Valerie Townsend Bayer
Judith Sills
John R. Feegel
Linda Lovelace
Jean Sasson
Arnold L. Schwartz
Roger J. Green
Roger Green
Donald W. Hendon
Terry Rowe
Edwin B Flippo
William J Stanton
W. M Protheroe
G. C Cheshire
Paul Bannister
Louise Pickford
Paul Strachan
Hilary More
Jenny Plucknett
Heather Luke
Stephen Spignesi
Jac Venza
Brian Underdahl
Michael Halvorson
Tim Appelo
Lyndall Gordon
Clea Simon
Holzer
Khadijah Hashim
Wendy Smedley
Philip Kotler
Stephen P. Robbins
A. Francis
SIDNEY SHELDON
Gail Bussi
Nicholas Pileggi
"Dean, M.D. Ornish"
Judith Ets-Hokin
Jen Sacks
Jackie Daly
Angela Wainwright
Laura Numeroff Joffe
Julie Kenner
Patrick J. Wright
Andy Borowitz
Asha Tyson
Laura Denham
WAYNE JOHNSTON
JEANNE RAY
Pollar
Stephanie S. Tolan
S.E. HINTON
R.W. Lane
Jasmine Jones
Henry Bayman
Adolf Hitler
Cheryl Zach
Kathryn Leigh Scott
"Annette B., Ph.D. Natow"
Denny Somach
Funny Gay Males
Eileen Gardiner
Arnold Wesker
Pier Paolo Giglioli
Hunter Davies
Geoffrey Wansell
Colin Hall
Fiona Fox
Peter Ladefoged
Tim Riley
Philip Carter
Marion Ferguson
Mahathir bin Mohamad
ROBERT FERRIGNO
Yogesh  Chadha
Iain McDowall
Wayne Worcester
Allen Wheelis
Leslie Weiner
"William C., Ph.D. Byham"
Robert J. Petro
H. R. Haggard
Rachel Smith
Frederick Warne
John Vernon Lord
Barry Green
Dave  Johnson
M. V. Carey
W. Stevenson
Lucy Moore
Joyce Tyldesley
Ray Campbell Smith
David Dewey
Michael Heyward
Turow Scott
Jo Ippolito. Christensen
Laurie Rozakis
Charles Osborne
The Brothers Grimm
David Riesman
David Grene
Aung San Suu Kyi
Sayyid A. Mawdudi
Zig Ziglar
Anthony Lambert
Steve Fallon
Christine Greig
Signet
Herb L. Gustafson
L.N. Tolstoy
Catherine Breslin
H. B. Stowe
ROBERT LUDLUM
Anne M. Sperber
Geller
Julia Barrett
Don McCormack
Julian Jay Savarin
C. A. Mobley
Jackie Silberg
Bob Lancer
Peter Scott
Art Bourgeau
Patricia Schultz
Rita Kramer
Teryl Zarnow
Michael P. Halcomb
Alexandra Frye
Jodie Rhodes
ROSA GUY
L. Christian Balling
Pearl Rock Kane
A. Edwards
Harold Constance
Jim Morris
James H. Cobb
Elizabeth Noble
John Rosemond
Jerrold Mundis
Jeff Campbell
Dennis J. Cummings
Lesley Stahl
Robert D. Putnam
Herb Freudenberger
Christine A. Adams
Jessamyn West
Sigrid Damm
Rosanna Brambilla
Jan Kropholler
Greg Sarris
Brenda Gates Smith
Esmeralda Santiago
Jonathan Stone
Grit Poppe
David Huggins
Michael BÃ?Â¶ckler
Steffi von Wolff
Betsy Tobin
Phoebe Dunn
Bessie Head
LINDA COLLEY
Mitchell Leaska
Andrew Motion
Susan Travers
VALERIE MARTIN
Peter Biddlecombe
Robert Harvey
Richard E. Grant
Peter Robb
J. G Ballard
Barry Maitland
Michael Dennis
Ermanno Bencivenga
Stefan Wul
Jon Manchip White
Andrew Hacker
Gordon Dalbey
"Dennis, Jr. McAuliffe"
Editors of Bicycling Magazine
Valerie Wilkinson
Lukas
Susan Lukas
Barry Hughart
Jack Cady
Jack Caddy
Gayle Pemberton
Quim MonzÃ³
Josep Maria de Sagarra
Bill Gutman
Stella Bagwell
Susan Sizemore
Lillian Shelley
Jon Hein
Maria De Gorgey
MARJA OCHOROWICZ
Gianni Guadalupi
Christopher Hibbert
Richard Meyers
Joe Cummings
Jim Lewis
Gisbert Haefs
Bernard LentÃ?Â©ric
Bruno de Stabenrath
Cusset. Catherine
Michelle Black
Joanne Dobson
Thomas A. Black
Baldesa Castiglione
Kelly Harte
Elizabeth Ehrlich
Medical Economics
Lori Borgman
William Glasser
Carolyn Sedgwick
Tristanne Walliser
John Elkington
Fiona Bowie
Bhagavadgita
Lao Tze
Confucius
Catherine Slessor
Tom Wujec
John Keats
Theodore Schick
John Dark
Walter J. Williams
Thomas Wren
Clavel
HonorÂ© De Balzac
Clifford d. Simak
Jacqueline Reberg
Paul-Loup Sulitzer
Kesey
Machiavel
Greene
R. Fallet
Albert Cornelis Baantjer
R. D. Blackmore
David M. Masumoto
Samantha Weinberg
John DOS Passos
Ralph Schoenstein
Charlotte Gullick
MICHAEL ZADOORIAN
Jasmine Paul
Sam Choy
Peter Kent
"Michael R., MD Eades"
Frank Huyler
M. Margaret Conway
Jack R. Van Der Slik
Bruce  Stinebrickner
John W. Young
Michael M Harmon
Harry A. Bailey
Lan Sluder
Donald Honig
Carl Sandburg
John Bartlow Martin
Leigh Grossman
Bob Wood
Samuel Kernell
Robert A Caro
Bob Costas
Bob Rotella
Thomas Boswell
David M. O'Brien
Conrad Hilton
Mario Cuomo
"Walter, Sir Scott"
John Kingdon
Will Miller
Midori Snyder
Stephen Ambrose
Arthur Bradford
Russell Atwood
John Clarkson
Steven Hartov
Ernst Kaiser
Shawn McBride
Rob Hirtz
Aristotle
Granta
Nathaniel S. Borenstein
James Penning
Baddiel
Emile Ajar
Jose Maria Mendiluce
Kabaleb
MARIAN KEYES
Ana MarÃ­a Matute
Judith Kerman
Gotz Blome
Jean-Dominique Baudy
CHAIM POTOK
Giuseppe Tomasi di Lampedusa
Gary C. King
BILL BUTTERWORTH
Howard Kohn
Patrick McManus
Anne Graham Lotz
Christian Zimmermann
Christa Maar
Terence Hanbury White
Sarah Gregory
RICK RIORDAN
Marcia Evanick
Sherry Lewis
LINDA FRANCIS LEE
Paula Detmer Riggs
Tracie Howard
J. J. Murray
Rachel Basch
Sylvia McDaniel
Wendy Burge
Linda Broday
Kris Neri
Jacqueline Baire
Kathleen Creighton
Kristina Wright
Elissa Ambrose
Julianne Maclean
Janet Kendall
Lynn Michaels
Cheryl St.John
Mariah Stewart
Eva Rutland
Rachel Wilson
Michelle Martin
Penelope Williamson
Bill Crider
Kristi Gold
Nina Bangs
Laurie Lykken
Terence Blacker
Peter Tyson
S. W. Hawking
Jerry Kaplan
Jeremy Rifkin
Michael Wolff
Kara Swisher
Michael Hiltzik
Jeri Taylor
SIMON SINGH
Charles Petzold
Barbara Strachey
Maria Suglia Pesce
Marsha Marks
Benjamin Sehene
Severgnini Beppe
Patricia George
John Klutz Yo-Yo Book Cassidy
Bob Woodburn
Laeh Maggie Garfield
Jesse Crum
Kathryn Ridall
Rod Marshall
Madeleine Chapsal
Sarah Lloyd
Amanda Cockrell
Aaron Fletcher
Charlotte Prentiss
Lynn McKee
Clare Coleman
Richard W. Hughes
Aaron Sorkin
Evan Maxwell
J.K. Rowling
John Howells
Ken Mitchell
L. F. Baum
Dan Dyckman
Allen Kurzweil
Kenneth Abel
Jo Berry
Jackie Hardrick
Norman Gorbaty
Mary James
Joel Rose
Alasdair Gray
Viken Berberian
William H. Chafe
Thomas R. Martin
Terry S. Reynolds
Peter M. Senge
Robert Sheckley
Tori Phillips
Mary Burton
Julia Justiss
B.L. Andrews
Francisco MartÃ­n Moreno
Michael Salewski
GRAHAM SWIFT
Cherry Muhanji
Barbara Nadel
Lady Antonia Fraser
Katherine Rogers
W.P. Kinsella
Paul R. Shaffer
James Dalessandro
Charles Robertson
Simone Borowiak
JÃ?Â¼rgen Becker
Birdie L. Etchison
Louis Fischer
Alberto Granado
Duane Franklet
J. Frank Dobie
Esther Freud
Dieter Fricke
John Gile
Dan Jacobson
Stefan Keller
Friedrich DÃ?Â¼rrenmatt
Susanne Mischke
Nabb
Jakob Arjouni
Evelyn Holst
Willy Loderhose
Johannes Mario Simmel
Dirk Kurbjuweit
Knut Faldbakken
James Salter
Benoite Groult
Micheal Connelly
Jose Mallorqui
Stanislav LEM
I WELSH
Witold Gombrowicz
Kathleen Olmstead
Lotfi Akalay
Don Delillo
Eugene C. Kennedy
Alwin Fill
Reverte
Alexander Frater
Renni Browne
Scott Edelstein
Jeff Taylor
ELIZABETH CODY KIMMEL
Liza Marklund
Michael Roes
Elizabeth M. Cosin
Sara Gruen
Alison Clement
Barbara McMahon
Anna Depalo
Jeanie London
Doris Stokes
George Bloomer
GLORIA JAHODA
Pat McKissack
Maria D. Wilkes
Linda Ellerbee
Charlotte Foltz Jones
Gretchen Greiner
Ann Warren Turner
Jennifer Austin
Jillian Ross
Jennifer J. Stewart
Carin Greenberg Baker
Anna Kirwan
Tony Abbott
Mary Nash
Kathleen V. Kudlinski
Bruce Lanskey
Nancy Robison
Nicole Lorian
Terry Collins
Marcia Leonard
John O'Farrell
Natalie Fruger
Claudine Gondolfi
Cate Holly
Kim Anderson
Anders Henriksson
Richard Aellen
Margot Arnold
Bruce McMillan
Jeffery Moss
Nancy Krulik
Patricia Fisher
Stephen R. Van Schoyck
Cher
Robert K. Cooper
Robin Elliot
Sara Chance
Jackie Merritt
Jacqueline Gilpin
Modean Moon
Donna Carlisle
Katherine Granger
Sandra Davidson
Miller
Alvin Toffler
Emily French
Christian Miller
Candas Jane Dorsey
Al Janssen
Inge Meyer-Dietrich
Lothian Books
Katharine D. Dyson
Barney R. Hurlbutt Jayne Bremyer
A. E. Van Vogt
Sterling Lanier
Candance Schuler
Olivia O'Neill
Christina Nicholson
Kay McMahon
Lynn Lemon
"A. Carman, Clark"
Lawrence Watt-Evans
Hugh B. Cave
Michael Bedard
Frank C. Strunk
Kathryn Lasky Knight
Virginia Nielsen
Paul C. Jong
"and Nichols, Hildebrandt"
John Gideon
Sarah Ashley
Hilary S. Kayle
Dorothy Dowdell
Grant Morrison
Sholly Fisch
Lisa Cantrell
Franklin Graham
John Leslie
Fran Arrick
Tom Deitz
Chris Claremont
Alan Hruska
Julia Ellis
Joseph Meek
E. Norman
Jerry Ahern
John de Lancie
Eleanor Druse
Saki
Berry Stainback
Patricia Mathews
Patricia Gallagher
Leigh Clark
S. E. Gontarski
Toby Litt
Rana Bose
Lewis Spence
Derrick Jensen
Stephen Arlin
Juan Gonzalez
Solomon J. Schepps
Miles Davis
Judith Hurley
Bobbie Hinman
Albert Meltzer
Mumia Abu-Jamal
Guy Debord
Tomi-Ann Roberts
Robert Rosenheck
Beth Mende Conry
Jennifer Baumgardner
Daniel Sinker
Barry Glassner
James Tracy
Abbie Hoffman
Ellyn Sanna
Marianne Macdonald
Carol Wallace
Janusz Nel Siedlecki
Terrence Real
Kunikida
J H Plumb
Eugene and George P Hough Raudsepp
Karen Pryor
Robert W. Hill
Stephanie Marohn
Marcy Sheiner
Elizabeth Hourihan
Richard Demille
Tina Goss
Stephen D. Manning
Chris Gudgeon
Diane Waldman
Serge Lemoine
John Dewey
Douglas T. Miller
Harlan Lane
C. Lang
Thomas Palmer
Alex Ross
A. J. Burress
Barbara Leigh
Ginny Aiken
Noa Schwartz
Jean Echenoz
John Piper
Donald James
Ken Steele
Barbara Meyers
SHARI MACDONALD
Becky Tirabassi
Marshall Stewart Ball
Lloyd E. Ambrosius
H. R. McMaster
Alain Destexhe
Dianna Everett
Cynthia Combs
J. Samuel Walker
Olivia St. Claire
Charles Richards
Barbara Elliott Carpenter
Martine Batchelor
Barbara Spring
Maria Lapachet
Bruce Whatley
JANE WERNER WATSON
Irene Trimble
Richard Brenner
Anne Geddes
Giles Andreae
LILIAN MOORE
Judith Walker-Hodge
Karen Wallace
Ann Baybrooks
Helen Craig
Jordan Horowitz
Miep Gies
Meredith Broussard
Musset
Hugh Brogan
Samuel P. Harbison
Paul Edwards
Joan Budilovsky
Ellyn Bader
John Naisbitt
Marilyn vos Savant
Rosalind Miles
Deborah Hale
Ruth Langan
Caroline Bourne
Jean R. Ewing
Nicola Cornick
Teresa Desjardien
Linda O. Johnston
Timothy Parker
John J. Gobbell
Pete Seeger
Patricia Lauber
Laura Wilder
David Seltzer
Alwyn Cox
Anita Stewart
Ian Mackersey
Nicole Davidson
Florence Hurd
Anna Hudson
Lorraine Heath
Kerry Newcomb
Howard Haas
Robert Stanek
Regis Philbin
Patrick Spreng
Douglas J. Soccio
Frederick Turner
Kate Silver
Sheri McInnis
Mark Richard Zubro
Sabine Durrant
Nancy J. Cohen
Toni Cade Bambara
Mary Sojourner
James Kirkwood
Caroline Upcher
Willard Thorp
Laurel Phelan
Dean King
Laurie J. Marks
Tristan Jones
Barbara Ashmun
Ayun Halliday
Michael S. Sanders
JEAN PLAIDY
David Chadwick
Simon Singh
Alessandro Boffa
James
BronisÂ±aw Wojciechowski
Wojciech FijaÂ±kowski
Aleksander Lwow
Nicole Markotic
Norman Rush
Genevieve Davis Ginsburg
Linda Wolf
Adrienne Hall
Lawrence Thornton
John McCain
Barbara J. Scot
Mary Clearman Blew
Henriette A. Klauser
BERNHARD SCHLINK
Gerald DiPego
Rachel Dobkin
Jason Rich
George Gibbs
Billy Martin
Sterling North
Jack Grapes
James William Gibson
Kennedy X. J.
Ron Kovic
Jerry Stahl
Bob Zelnick
Jane Carpineto
Alan John Percivale Taylor
Jameson Cole
Oates
Mike  Shannon
Tom Perrotta
Peter J. Smith
Louise D. Rich
Roland Merullo
Tom House
Joyce Cary
Brad Watson
Sarah Williamson
Linton H. Robinson
Henry Beston
Mary LA Chapelle
J. S. Borthwick
Paul Watkins
Howard Liss
Kirsten Holm
John Casey
Tim Obrien
Marsha Qualey
Madison Smartt Bell
Eliot Asinof
Maureen Wartski
Ronald Richard Roberts
Dan Jenkins
Ann Dumais McCormick
Pam Johnson-Bennett
Greg Gottesman
Richard K. Nelson
David Kranes
Allen Barra
Global Health Ltd
James T. De Kay
Jana St. James
Betty Malz
Anne Avery
Sylvie F. Sommerfield
Gayle Callen
Tina St. John
Susan Charnley
Eugenia Riley
Denise Hampton
Terri Brisbin
MADELINE HUNTER
Veronica Sattler
Mildred Walker
Stan Resnicoff
Joyce Tenneson
Jeff Wamsley
Louis L Amour
L'Amour
Andy Brand
Tony  Farrington
J. R. Roberts
Guy Brewer
Gary McCarthy
G. Bruce Knecht
Harald M. Hamran
Ray Jason
Peter Nichols
Jan De Groot
Jim Carrier
Sarah Graves
Jake Page
Lou Cameron
Jessie Louise Beattie
Bernard Moitessier
Jenny Dale
Ann Spencer
ROBERT BAER
Gwen McKee
GERALD L. POSNER
Jacqueline Marcell
Nicholas  Tomalin
Derek Lundy
David  Gowdey
Pete Goss
Janis L. Fortman
Alan Okamoto
Lyn Orton
Linda Foa
Peter Barthelme
Josephine Araldo
Rick Hanson
David B. South
C. Jackson Grayson
Scott Sommer
Southern Living
Dana Carpender
Dorothy Frager
Ed Walters
Corson Hirschfeld
Owl Goingback
Simon Wiesenthal
Bruce Feiler
Omar Tyree
Teen Authors
David Quinlan
Dan Gutman
Jenny Oldfield
McKissack
Patricia Lakin
Justin Heimberg
Kate Petty
Nila K. Leigh
Louis Sabin
Sylvia A. Johnson
Allison Gertridge
Marc A. Cerasini
Lori Stacy
Katherine Maitland
Eric Binder
Claire Llewellyn
Eric Maddern
Berta Hader
Hugh Lunn
Mark Wolverton
Delia Marshall Turner
Adam-Troy Castro
G. M. Mullett
Denise Little
Mindy Peterman
S. D. Perry
Kim Scott
Shannon Ravenel
Jacques Barzun
Anne Carson
Paul Gallico
JULIE SHIGEKUNI
Francis Dvornik
H. B. London
Samuel G. Freedman
Saul D. Alinsky
Kathleen V. Hurley
Gail Sidonie Sobat
Cornelia Cornelissen
Bruce Bliven
Judy Sierra
Angela Royston
Ira Sher
Meg Wolitzer
Patsy Jensen
Cristina Ong
Crocker
John Henry Newman
Raphael Brown
Mitch Finley
Sarah Peterson Hage
Robert Lawson
MARGARET COUSINS
Elaine Brown
Peter Bowen
Max Phillips
Lewis Shiner
Penelope Rowe
H. G Wells
James Fenimo Cooper
Aldous L. Huxley
Alexis Harrington
Frederick E. Croxton
Douglas N. Walton
Cook
Stationery Office
David Willey
Vincent Price
J.H. Martin
Erik Lindgren
HENRY BEARD
John Kenneth Galbraith
Marta Mata
Zhang Xinxin
Robert Lindsey
Manuel VÃ¡zquez MontalbÃ¡n
Ed Wicke
Todd Strandberg
N. Barry Carver
Barry Manilow
Luis Murschetz
Anna Claybourne
John Heidenry
Anne McAllister
O. Richard Norton
Alan Charles Kors
Ira Jones
Thomas S. J. Steele
Rick Reilly
Greg Moody
Mark Vancil
Bernard De Koven
JEFFREY M. SHAARA
Jim Goad
The SubGenius Foundation
Paul M. Sammon
"Donald, M.D. Holmes"
David Thibodeau
David Kerekes
Max Cannon
J.R. Dobbs
Robert Sheaffer
Alfred Hitchock
James BeauSeigneur
Georg  Feuerstein
Colin S Smith
John  Davidson
Neil Wilson
Robert Louis Steveanson
Malvina G. Vogel
Barb Hahrahan
Jeff Noon
Ben Richards
Rafael Sabatini
Enzo Biagi
Tirso de Molina
Richard Plante
Paige Phillips
Renee Rozel
Joal Ryan
Melissa Nathan
"Leo, Huberman"
Jeremy Seal
Sian Rees
Richard S. Wheeler
Dalton Walker
Johnston McCulley
Owen Wister
Jon Cleary
Robert J. Conley
Simon Gandolfi
Ray Hogan
Roy Apps
Stanley Pottinger
Mary Anne Mohanraj
The Editors of Life
J. A. Jance
Johanna Johnston
Bruce Velick
Caroline Preston
Lesley O'Mara
James Hall
Suzanne Chazin
Molly Lee
Yann Arthus-Bertrand
Elfriede Jelinek
Erich Frommm
David Herbert Lawrence
Ines Rieder
B. Stoker
Christine Baumanns
Harry Rowohlt
Phra Peter Pannapadipo
Dieter HochstÃ?Â¤dter
Pierre Berloquin
National Fire Protection Association
Holley C. Johnson
Mimi Latt
ROBERT C. ATKINS
Dan Yaccarino
Ernest Lehman
Donald J Sobol
Peggy Kahn
R. G. Austin
R. F. Patterson
Mary Ellen Pinkham
Sharon Fiffer
Evelyn L. Beilenson
Dawn J. Ranck
Fodors
ELIZABETH W. ND COLLINS
Sutton Miller
Myra Pollack Sadker
Celia Anita Decker
Ron Larson
Carole Wade
Darrell D. Ebbing
John D. Cutnell
Howard Anton
Suzanne Kirtland
Steven M. Stanley
Rise B Axelrod
Joel Feinberg
Thomas J.  Et Al Hixon
Darrell Ebbing
Norman K. Wessells
N.S. Doniach
Hans Wehr
Mario F. Triola
Becky Higgins
Sandy Redburn
Lisa Bearnson
Malinda Johnston
Debbie Janasak
Memory Makers Magazine
Creating Keepsakes
Charles Jardine
A. K. Best
Creative Publishers Intl
Dave Vedder
Marilyn Tausend
Richard Sexton
Rick Kustich
Friedman
Francis Crick
Eve Harlow
Yitta Halberstam Mandelbaum
Elizabeth Carlassare
Kooler Design Studio
Julie Hasler
Barbara Finwall
Sarah Stevenson
Terrece Beesley
Eleanor Van Zandt
Patrice Boerens
Mimi Shimmin
Allan  Armitage
David Friend
Angela Wiles
Sheila Coulson
Arlene Dettore
Leslie Dierks
Mary Jenkins
Jane Greenoff
Eileen Westfall
Ruth Ann Lowery
Ellen Spector Platt
Joni Prittie
Louis Weber
Shelli McConnell
Rick Rodgers
Jean-Pierre Brehier
Sandra Woodruff
Debbi Fields
Kristi Fuller
Longaberger Company
Jo Voce
Marti Michell
Gooseberry Patch Staff
Oded Schwartz
Eric Treuille
Elisabeth Lambert Ortiz
Diane Henkler
Stevie Henderson
The Designers from Provo Craft
Marianne Fons
Richard  Bayan
Anne Van Wagner Childs
Venus Dodge
Samuel Johnson
ROBERT FITZGERALD
T.S. Dorsch
Jonathan  Swift
Solomon M. Skolnick
Claudine Gandolfi
Rasheen Hewlett
Smallwood
Liesl Vazquez
Tara Ann McFadden
Ovid
Authur Schopenhauer
Danny Sugerman
Alexander Pope
Louis Vine
Suetonius
Websters
Jill Rindfuss
Christie Northrup
Joseph T. Straub
Carl S. Warren
Lottie L. Riekehof
H. Harvard Arnason
James Hufnagel
Marya Holcombe
Paul Nelson
Cynthia Kersey
Tony Alessandra
Jeffrey J. Mayer
Roger Leroy Miller
Cambell R. McConnell
Diane Phillips
Ilene L. Meckley
"Larry R., Col. Donnithorne"
Hyler Bracey
Kenneth Blanchard
Traci Bild
William J. Bond
John C. Maxwell
Michael Johnstone
Mac Anderson
Lori Backer
Byrd Baggett
Joe Claro
Betty Cavanna
Joyce Cool
Ruth Wallace-Brodeur
Nancy J. Hopper
Gloria D. Miklowitz
Pamela Curtis Swallow
Mary Anderson
Susan Pearson
Berniece Freschet
Dick Gackenbach
O. Irene Sevrey Miner
Fernando Krahn
Ruth. Bornstein
William Wise
Elsa Posell
Karen Jacobsen
Illa Podendorf
Rosalie Seidler
Bonnie Bishop
Mary Deball Kwitz
Nancy Willard
Patricia Coombs
Betty Virginia Doyle. Boegehold
Annabelle Prager
Dorothy Van Woerkom
Isabel Langis Cusack
Virginia Kahl
C. S. Adler
Janice Boies
Tricia Springstubb
Andrea Warren
Constance C. Greene
Jane Carruth
Philippa Greene Mulford
Judith St. George
Anne Warren Smith
Winifred Morris
Rosa Guy
Charles M Schulz
Franz Brandenberg
Hila Colman
Marjorie Stover
Clyde Robert Bulla
Alan Coren
Richard. Kennedy
Richard Kennedy
Marian T Place
Eloise Jarvis McGraw
Michelle Gerbrandt
Betty Miles
Carol Snyder
William Arden
Glen Rounds
Clifford B. Hicks
Kevin D. Randle
Kate Coscarelli
Rona Randall
J.T. Richards
Jackie Weger
Eda Leshan
Readers Digest Association
Pauline Chatterton
James F. David
Kevin Dr. Leman
Sir Sydney Smith
Malcolm Whyte
Albert Wunsch
David Bowker
Lyn Siler
ANDREW MD WEIL
Lily King
Annette Motley
Pietro Metastasio
Charles W. Colson
Sheryl Kahn
Emily Perl Kingsley
David Anstey
John Pemberton
Frederick J. Streng
Stephen Dunn
William James
Harry E. Wedeck
Nicklaus Suino
Pat O'Shea
Yamamoto Tsunetomo
Wendy Palmer
Sonja Vegdahl Hur
James G. Frazer
Eugene Fitzmaurice
Vickie Bane
Gayle Buck
Catherine Dexter
Joseph Sherman
V.S. NAIPAUL
Linda Ziedrich
Susan Jane Gilman
William Butler Yeats
Ruth S. Noel
Siegfried Morenz
Anita Larsen
Erich Follath
Robert Wyatt
George Barris
SARAH STONE
Gena Dalton
Brenda Hiatt
Vicki L. Thompson
Patricia Keelyn
Judith Yoder
Quinn Wilder
Marta Perry
Felicia Mason
Rhonda Nelson
Doris Davidson
Roz Fox
Cynthia Thomason
W. Richard West
Jessica Hart
Kathie Denosky
Pam McCutcheon
Lee Williams
Theresa Gladden
Nancy Butler
Catherine Palmer
Melody Morgan
Gary Gygax
TSR Staff
Blake Mobley
Carol Brown
David A. Karp
Laurie  Blum
Amacom
Doug Stewart
David Zeb Cook
John Nephew
Anne Brown
Colin McComb
Tsr Op
Bruce Nesmith
Staff
Jeff Grubb
Dave Cook
John Terra
Nancy Berberick
Steve Winter
Michael Williams
Hilary H Milton
Julius Goodman
Charles G. Waugh
Linda Baker
Nancy Varian Berberick
Bud Smith
Jane Calabria
United Nations Environmental Programme
Carlos Lozano
John S. Marr
Joshua A. Wilson
Hubert Selby Jr.
John Richard Stephens
Christine Wicker
Helen Boyd
Matthew Costello
Thomas Sullivan
Dito Montiel
William M. Bass
Brandon Massey
Ron Potter-Efron
David Bowman
Anna Skinner
Francisco Jimenez
Duane Elgin
Baron Baptiste
Walter Isaacson
Billy Bean
CARRIE SCHWAB-POMERANTZ
Jack Brennan
Dean Ornish
Richard Florida
Frost
Karen Berger
F. Sionil Jose
Charles Nordhoff
Alan Ryan
Rand McNally and Company
Neil Howe
Andrew Weil
Layne Redmond
Lynne Russell
Bender Hy
Wim Coleman
Cliff Schimmels
Peter James
Patricia McCormick
Rosa Mashiter
David Liss
Georgene Weiner
C. N. Bean
Franny Billingsley
Peggy Christian
Sharlene Azam
Tanya Lloyd Kyi
Marion Douglas
Lee Maracle
Veronica Uribe
Mel Dagg
Nigel Slater
Anne Gay
Michael DiMercurio
Annie Lawson
Emmuska Orczy Orczy
Robert Chalmers
Barbara Berliner
Nikola Hahn
Abigail Padgett
Wilfried Erdmann
Lars Von Trier
Larry Baker
Eugene McEldowney
John Ronald Reuel Tolkien
Luke Rhinehart
Fay S Lapka
Amy Hest
STEPHEN KRENSKY
Scott Eller
Barbara Brooks Wallace
LENSEY NAMIOKA
Ellen Leroe
Sara H. Banks
Chris Crutcher
Maryann Easley
Sally R. Gary
J. Brenner
Countess of Romanones Aline
Becky Rutberg
BONNIE BRYANT
Lisa Norby
Barbara Bickmore
Nancy Bond
Yvonne MacGrory
Eda LeShan
Carol Landau
REGINALD ARKELL
Michael Phillips
Barbara Milo Ohrbach
Steve Chapman
Jean Webster
Melissa Etheridge
Nan Fry
Harrison Gradwell Slater
B. Christian Zimmermann
Martin Mayer
Burt Richards
Karyn Hay
Steven Katz
Ron Richards
Michael Rabiger
Stella Duffy
Bohumil Hrabal
Eloise McGraw
Phoebe Stone
Katherine Milhous
Wanderer
Seale Ballenger
A.J. Orde
Simona Hill
Robert G. Phelps
Robert Gandy
Mark Bryan
Charles H. Paraquin
E. Richard Churchill
LYNDA S. ROBINSON
Deirdre McQuillan
Max Apple
J. P. Morrissey
William Egan Colby
Andris Kurins
Bazhe
David Lindley
Barry Evetts
David C. Smith
Editors of the New Republic
Robert Klitgaard
Coville
Sharon G. Flake
Marilyn Harris
Yvonne Adamson
Robin Pulver
Jana Hensel
Bill McNeil
H. S. Thompson
Susan J. Wolfe
Nayland Blake
Ruth Van Waerebeek-Gonzalez
Alice L. Waters
Steven Weisenburger
